frame,index,player,x,y,angle,vx,vy,av,speed,dist,arrowRot
6,3,1,-103.304749,114.347839,1.001579,155.800079,-99.690918,0.000000,184.964706,105.691200,-0.569217
6,4,2,40.757721,88.831696,-0.913656,-88.608910,-68.364723,0.000000,111.916374,63.950443,-2.484452
6,5,2,-104.548561,-18.072025,1.995489,121.448868,54.920795,0.000000,133.289612,76.163383,0.424693
6,6,2,54.841007,-96.725525,3.457119,-57.646278,176.595016,0.000000,185.765701,106.148888,1.886323
6,7,2,125.615227,-50.598236,3.943493,-133.404358,129.072449,0.000000,185.624405,106.068161,2.372697
7,0,1,-8.492599,-61.375500,2.948149,24.662863,125.899681,0.000000,128.292587,74.957451,1.377353
7,1,1,117.852486,23.935326,-1.335480,-158.477219,-37.996265,0.000000,162.968536,95.217552,-2.906276
7,2,1,120.139305,126.824089,-0.521003,-101.280548,-176.479538,0.000000,203.476730,118.885262,-2.091799
7,3,1,-100.765221,112.722885,1.001579,152.371719,-97.497231,0.000000,180.894592,105.691200,-0.569217
7,4,2,39.313404,87.717354,-0.913656,-86.659081,-66.860367,0.000000,109.453667,63.950443,-2.484452
7,5,2,-102.568954,-17.176821,1.995489,118.776398,53.712269,0.000000,130.356583,76.163383,0.424693
7,6,2,53.901379,-93.847038,3.457119,-56.377777,172.709061,0.000000,181.677948,106.148888,1.886323
7,7,2,123.440750,-48.494366,3.943493,-130.468811,126.232224,0.000000,181.539764,106.068161,2.372697
8,0,1,-8.090597,-59.323345,2.948149,24.120159,123.129272,0.000000,125.469513,74.957451,1.377353
8,1,1,115.269318,23.315990,-1.335480,-154.989944,-37.160160,0.000000,159.382431,95.217552,-2.906276
8,2,1,118.488441,123.947487,-0.521003,-99.051880,-172.596130,0.000000,198.999237,118.885262,-2.091799
8,3,1,-98.281570,111.133690,1.001579,149.018799,-95.351814,0.000000,176.914017,105.691200,-0.569217
8,4,2,37.900867,86.627533,-0.913656,-84.752159,-65.389114,0.000000,107.045151,63.950443,-2.484452
8,5,2,-100.632912,-16.301315,1.995489,116.162735,52.530334,0.000000,127.488106,76.163383,0.424693
8,6,2,52.982426,-91.031891,3.457119,-55.137188,168.908615,0.000000,177.680130,106.148888,1.886323
8,7,2,121.314117,-46.436790,3.943493,-127.597855,123.454498,0.000000,177.544998,106.068161,2.372697
9,0,1,-7.697441,-57.316349,2.948149,23.589397,120.419823,0.000000,122.708572,74.957451,1.377353
9,1,1,112.742996,22.710283,-1.335480,-151.579407,-36.342453,0.000000,155.875244,95.217552,-2.906276
9,2,1,116.873901,121.134186,-0.521003,-96.872253,-168.798172,0.000000,194.620285,118.885262,-2.091799
9,3,1,-95.852577,109.579460,1.001579,145.739655,-93.253609,0.000000,173.021042,105.691200,-0.569217
9,4,2,36.519413,85.561699,-0.913656,-82.887199,-63.950233,0.000000,104.689636,63.950443,-2.484452
9,5,2,-98.739471,-15.445075,1.995489,113.606583,51.374409,0.000000,124.682739,76.163383,0.424693
9,6,2,52.083694,-88.278694,3.457119,-53.923901,165.191803,0.000000,173.770309,106.148888,1.886323
9,7,2,119.234283,-44.424492,3.943493,-124.790077,120.737892,0.000000,173.638138,106.068161,2.372697
10,0,1,-7.312935,-55.353516,2.948149,23.070314,117.769997,0.000000,120.008385,74.957451,1.377353
10,1,1,110.272263,22.117905,-1.335480,-148.243912,-35.542740,0.000000,152.445221,95.217552,-2.906276
10,2,1,115.294891,118.382790,-0.521003,-94.740585,-165.083786,0.000000,190.337677,118.885262,-2.091799
10,3,1,-93.477036,108.059433,1.001579,142.532669,-91.201569,0.000000,169.213745,105.691200,-0.569217
10,4,2,35.168358,84.519318,-0.913656,-81.063278,-62.543015,0.000000,102.385956,63.950443,-2.484452
10,5,2,-96.887695,-14.607677,1.995489,111.106682,50.243919,0.000000,121.939102,76.163383,0.424693
10,6,2,51.204739,-85.586082,3.457119,-52.737312,161.556778,0.000000,169.946518,106.148888,1.886323
10,7,2,117.200218,-42.456474,3.943493,-122.044083,118.081070,0.000000,169.817245,106.068161,2.372697
11,0,1,-6.936891,-53.433876,2.948149,22.562654,115.178482,0.000000,117.367615,74.957451,1.377353
11,1,1,107.855896,21.538561,-1.335480,-144.981812,-34.760624,0.000000,149.090668,95.217552,-2.906276
11,2,1,113.750626,115.691940,-0.521003,-92.655830,-161.451126,0.000000,186.149323,118.885262,-2.091799
11,3,1,-91.153763,106.572853,1.001579,139.396255,-89.194687,0.000000,165.490204,105.691200,-0.569217
11,4,2,33.847034,83.499870,-0.913656,-79.279488,-61.166763,0.000000,100.132965,63.950443,-2.484452
11,5,2,-95.076668,-13.788705,1.995489,108.661789,49.138306,0.000000,119.255852,76.163383,0.424693
11,6,2,50.345123,-82.952721,3.457119,-51.576832,158.001740,0.000000,166.206848,106.148888,1.886323
11,7,2,115.210907,-40.531761,3.943493,-119.358513,115.482704,0.000000,166.080429,106.068161,2.372697
12,0,1,-6.569122,-51.556477,2.948149,22.066166,112.643990,0.000000,114.784950,74.957451,1.377353
12,1,1,105.492706,20.971966,-1.335480,-141.791504,-33.995720,0.000000,145.809937,95.217552,-2.906276
12,2,1,112.240341,113.060303,-0.521003,-90.616951,-157.898407,0.000000,182.053116,118.885262,-2.091799
12,3,1,-88.881615,105.118988,1.001579,136.328857,-87.231964,0.000000,161.848618,105.691200,-0.569217
12,4,2,32.554787,82.502853,-0.913656,-77.534950,-59.820793,0.000000,97.929543,63.950443,-2.484452
12,5,2,-93.305489,-12.987755,1.995489,106.270699,48.057022,0.000000,116.631638,76.163383,0.424693
12,6,2,49.504425,-80.377304,3.457119,-50.441887,154.524933,0.000000,162.549500,106.148888,1.886323
12,7,2,113.265373,-38.649403,3.943493,-116.732040,112.941521,0.000000,162.425842,106.068161,2.372697
13,0,1,-6.209445,-49.720390,2.948149,21.580603,110.165268,0.000000,112.259117,74.957451,1.377353
13,1,1,103.181519,20.417839,-1.335480,-138.671402,-33.247646,0.000000,142.601410,95.217552,-2.906276
13,2,1,110.763290,110.486572,-0.521003,-88.622932,-154.423874,0.000000,178.047058,118.885262,-2.091799
13,3,1,-86.659462,103.697113,1.001579,133.328949,-85.312431,0.000000,158.287140,105.691200,-0.569217
13,4,2,31.290974,81.527779,-0.913656,-75.828804,-58.504444,0.000000,95.774620,63.950443,-2.484452
13,5,2,-91.573288,-12.204430,1.995489,103.932220,46.999531,0.000000,114.065170,76.163383,0.424693
13,6,2,48.682228,-77.858559,3.457119,-49.331917,151.124634,0.000000,158.972610,106.148888,1.886323
13,7,2,111.362648,-36.808464,3.943493,-114.163361,110.456253,0.000000,158.851685,106.068161,2.372697
14,0,1,-5.857683,-47.924706,2.948149,21.105724,107.741089,0.000000,109.788857,74.957451,1.377353
14,1,1,100.921188,19.875906,-1.335480,-135.619949,-32.516037,0.000000,139.463486,95.217552,-2.906276
14,2,1,109.318741,107.969475,-0.521003,-86.672791,-151.025787,0.000000,174.129150,118.885262,-2.091799
14,3,1,-84.486214,102.306526,1.001579,130.395065,-83.435143,0.000000,154.804062,105.691200,-0.569217
14,4,2,30.054970,80.574158,-0.913656,-74.160202,-57.217060,0.000000,93.667107,63.950443,-2.484452
14,5,2,-89.879204,-11.438341,1.995489,101.645203,45.965309,0.000000,111.555176,76.163383,0.424693
14,6,2,47.878120,-75.395241,3.457119,-48.246372,147.799149,0.000000,155.474442,106.148888,1.886323
14,7,2,109.501793,-35.008038,3.943493,-111.651207,108.025673,0.000000,155.356171,106.068161,2.372697
15,0,1,-5.513661,-46.168533,2.948149,20.641294,105.370255,0.000000,107.372971,74.957451,1.377353
15,1,1,98.710594,19.345898,-1.335480,-132.635651,-31.800526,0.000000,136.394608,95.217552,-2.906276
15,2,1,107.905983,105.507767,-0.521003,-84.765564,-147.702484,0.000000,170.297455,118.885262,-2.091799
15,3,1,-82.360786,100.946541,1.001579,127.525734,-81.599159,0.000000,151.397598,105.691200,-0.569217
15,4,2,28.846165,79.641525,-0.913656,-72.528313,-55.958004,0.000000,91.605972,63.950443,-2.484452
15,5,2,-88.222397,-10.689111,1.995489,99.408508,44.953846,0.000000,109.100410,76.163383,0.424693
15,6,2,47.091709,-72.986130,3.457119,-47.184715,144.546844,0.000000,152.053238,106.148888,1.886323
15,7,2,107.681885,-33.247227,3.943493,-109.194336,105.648575,0.000000,151.937561,106.068161,2.372697
16,0,1,-5.177209,-44.451008,2.948149,20.187084,103.051590,0.000000,105.010231,74.957451,1.377353
16,1,1,96.548645,18.827551,-1.335480,-129.717010,-31.100758,0.000000,133.393250,95.217552,-2.906276
16,2,1,106.524307,103.100227,-0.521003,-82.900307,-144.452301,0.000000,166.550079,118.885262,-2.091799
16,3,1,-80.282127,99.616478,1.001579,124.719543,-79.803581,0.000000,148.066116,105.691200,-0.569217
16,4,2,27.663960,78.729416,-0.913656,-70.932335,-54.726654,0.000000,89.590195,63.950443,-2.484452
16,5,2,-86.602043,-9.956367,1.995489,97.221031,43.964642,0.000000,106.699661,76.163383,0.424693
16,6,2,46.322601,-70.630028,3.457119,-46.146420,141.366104,0.000000,148.707321,106.148888,1.886323
16,7,2,105.902023,-31.525164,3.943493,-106.791527,103.323792,0.000000,148.594208,106.068161,2.372697
17,0,1,-4.848162,-42.771275,2.948149,19.742870,100.783951,0.000000,102.699493,74.957451,1.377353
17,1,1,94.434265,18.320612,-1.335480,-126.862602,-30.416388,0.000000,130.457947,95.217552,-2.906276
17,2,1,105.173042,100.745667,-0.521003,-81.076096,-141.273636,0.000000,162.885162,118.885262,-2.091799
17,3,1,-78.249207,98.315689,1.001579,121.975105,-78.047508,0.000000,144.807938,105.691200,-0.569217
17,4,2,26.507769,77.837379,-0.913656,-69.371475,-53.522400,0.000000,87.618767,63.950443,-2.484452
17,5,2,-85.017349,-9.239746,1.995489,95.081696,42.997204,0.000000,104.351753,76.163383,0.424693
17,6,2,45.570419,-68.325775,3.457119,-45.130974,138.255356,0.000000,145.435028,106.148888,1.886323
17,7,2,104.161331,-29.840994,3.943493,-104.441589,101.050163,0.000000,145.324402,106.068161,2.372697
18,0,1,-4.526354,-41.128506,2.948149,19.308430,98.566208,0.000000,100.439598,74.957451,1.377353
18,1,1,92.366417,17.824827,-1.335480,-124.071007,-29.747078,0.000000,127.587234,95.217552,-2.906276
18,2,1,103.851509,98.442917,-0.521003,-79.292023,-138.164917,0.000000,159.300873,118.885262,-2.091799
18,3,1,-76.261024,97.043518,1.001579,119.291054,-76.330078,0.000000,141.621460,105.691200,-0.569217
18,4,2,25.377020,76.964966,-0.913656,-67.844963,-52.344646,0.000000,85.690727,63.950443,-2.484452
18,5,2,-83.467522,-8.538895,1.995489,92.989433,42.051056,0.000000,102.055504,76.163383,0.424693
18,6,2,44.834789,-66.072227,3.457119,-44.137871,135.213058,0.000000,142.234741,106.148888,1.886323
18,7,2,102.458939,-28.193884,3.943493,-102.143364,98.826561,0.000000,142.126556,106.068161,2.372697
19,0,1,-4.211628,-39.521885,2.948149,18.883549,96.397270,0.000000,98.229439,74.957451,1.377353
19,1,1,90.344070,17.339952,-1.335480,-121.340836,-29.092497,0.000000,124.779694,95.217552,-2.906276
19,2,1,102.559059,96.190842,-0.521003,-77.547211,-135.124619,0.000000,155.795486,118.885262,-2.091799
19,3,1,-74.316589,95.799347,1.001579,116.666069,-74.650444,0.000000,138.505096,105.691200,-0.569217
19,4,2,24.271152,76.111755,-0.913656,-66.352043,-51.192806,0.000000,83.805115,63.950443,-2.484452
19,5,2,-81.951805,-7.853466,1.995489,90.943207,41.125725,0.000000,99.809776,76.163383,0.424693
19,6,2,44.115345,-63.868267,3.457119,-43.166622,132.237701,0.000000,139.104874,106.148888,1.886323
19,7,2,100.794006,-26.583019,3.943493,-99.895706,96.651894,0.000000,138.999069,106.068161,2.372697
20,0,1,-3.903828,-37.950619,2.948149,18.468018,94.276054,0.000000,96.067902,74.957451,1.377353
20,1,1,88.366226,16.865747,-1.335480,-118.670746,-28.452320,0.000000,122.033928,95.217552,-2.906276
20,2,1,101.295044,93.988319,-0.521003,-75.840790,-132.151215,0.000000,152.367218,118.885262,-2.091799
20,3,1,-72.414940,94.582550,1.001579,114.098846,-73.007767,0.000000,135.457306,105.691200,-0.569217
20,4,2,23.189619,75.277313,-0.913656,-64.891975,-50.066315,0.000000,81.960991,63.950443,-2.484452
20,5,2,-80.469437,-7.183120,1.995489,88.942009,40.220757,0.000000,97.613472,76.163383,0.424693
20,6,2,43.411732,-61.712803,3.457119,-42.216743,129.327820,0.000000,136.043884,106.148888,1.886323
20,7,2,99.165718,-25.007601,3.943493,-97.697510,94.525078,0.000000,135.940399,106.068161,2.372697
21,0,1,-3.602801,-36.413925,2.948149,18.061630,92.201515,0.000000,93.953934,74.957451,1.377353
21,1,1,86.431900,16.401978,-1.335480,-116.059410,-27.826229,0.000000,119.348587,95.217552,-2.906276
21,2,1,100.058846,91.834267,-0.521003,-74.171921,-129.243240,0.000000,149.014389,118.885262,-2.091799
21,3,1,-70.555138,93.392532,1.001579,111.588112,-71.401237,0.000000,132.476578,105.691200,-0.569217
21,4,2,22.131886,74.461235,-0.913656,-63.464035,-48.964611,0.000000,80.157448,63.950443,-2.484452
21,5,2,-79.019691,-6.527525,1.995489,86.984848,39.335701,0.000000,95.465500,76.163383,0.424693
21,6,2,42.723602,-59.604771,3.457119,-41.287769,126.481972,0.000000,133.050247,106.148888,1.886323
21,7,2,97.573257,-23.466850,3.943493,-95.547684,92.445061,0.000000,132.949051,106.068161,2.372697
22,0,1,-3.308398,-34.911049,2.948149,17.664186,90.172630,0.000000,91.886490,74.957451,1.377353
22,1,1,84.540138,15.948412,-1.335480,-113.505531,-27.213915,0.000000,116.722336,95.217552,-2.906276
22,2,1,98.849846,89.727615,-0.521003,-72.539772,-126.399254,0.000000,145.735336,118.885262,-2.091799
22,3,1,-68.736259,92.228699,1.001579,109.132629,-69.830063,0.000000,129.561447,105.691200,-0.569217
22,4,2,21.097427,73.663116,-0.913656,-62.067516,-47.887150,0.000000,78.393593,63.950443,-2.484452
22,5,2,-77.601845,-5.886356,1.995489,85.070755,38.470123,0.000000,93.364784,76.163383,0.424693
22,6,2,42.050613,-57.543125,3.457119,-40.379234,123.698746,0.000000,130.122498,106.148888,1.886323
22,7,2,96.015839,-21.960003,3.943493,-93.445168,90.410820,0.000000,130.023514,106.068161,2.372697
23,0,1,-3.020473,-33.441242,2.948149,17.275488,88.188393,0.000000,89.864532,74.957451,1.377353
23,1,1,82.690010,15.504827,-1.335480,-111.007851,-26.615076,0.000000,114.153870,95.217552,-2.906276
23,2,1,97.667450,87.667320,-0.521003,-70.943542,-123.617851,0.000000,142.528458,118.885262,-2.091799
23,3,1,-66.957405,91.090477,1.001579,106.731178,-68.293457,0.000000,126.710457,105.691200,-0.569217
23,4,2,20.085732,72.882561,-0.913656,-60.701725,-46.833397,0.000000,76.668549,63.950443,-2.484452
23,5,2,-76.215195,-5.259296,1.995489,83.198784,37.623592,0.000000,91.310310,76.163383,0.424693
23,6,2,41.392437,-55.526844,3.457119,-39.490692,120.976768,0.000000,127.259155,106.148888,1.886323
23,7,2,94.492691,-20.486313,3.943493,-91.388916,88.421341,0.000000,127.162369,106.068161,2.372697
24,0,1,-2.738884,-32.003777,2.948149,16.895342,86.247818,0.000000,87.887077,74.957451,1.377353
24,1,1,80.880592,15.071004,-1.335480,-108.565132,-26.029413,0.000000,111.641922,95.217552,-2.906276
24,2,1,96.511078,85.652359,-0.521003,-69.382439,-120.897652,0.000000,139.392120,118.885262,-2.091799
24,3,1,-65.217697,89.977303,1.001579,104.382568,-66.790665,0.000000,123.922203,105.691200,-0.569217
24,4,2,19.096298,72.119179,-0.913656,-59.365990,-45.802834,0.000000,74.981468,63.950443,-2.484452
24,5,2,-74.859062,-4.646035,1.995489,81.368004,36.795689,0.000000,89.301033,76.163383,0.424693
24,6,2,40.748741,-53.554932,3.457119,-38.621704,118.314690,0.000000,124.458839,106.148888,1.886323
24,7,2,93.003059,-19.045052,3.943493,-89.377914,86.475639,0.000000,124.364174,106.068161,2.372697
25,0,1,-2.463491,-30.597944,2.948149,16.523561,84.349945,0.000000,85.953133,74.957451,1.377353
25,1,1,79.110992,14.646727,-1.335480,-106.176170,-25.456638,0.000000,109.185249,95.217552,-2.906276
25,2,1,95.380150,83.681740,-0.521003,-67.855682,-118.237312,0.000000,136.324829,118.885262,-2.091799
25,3,1,-63.516270,88.888618,1.001579,102.085640,-65.320946,0.000000,121.195312,105.691200,-0.569217
25,4,2,18.128637,71.372597,-0.913656,-58.059647,-44.794949,0.000000,73.331505,63.950443,-2.484452
